https_status,Count,DNS Status,Top 3 IPs,Average TTL
(Status Code: 401),3,"[('0.0', 3)]","[('185.104.211.35', 1), ('172.67.148.53', 1), ('104.21.41.157', 1)]",3505
unrecognized name (_ssl.c:1129)'))),3,"[('0.0', 3)]","[('77980.bodis.com.', 1), ('199.59.243.228', 1), ('89.31.143.90', 1)]",2484
(Status Code: 204),3,"[('0.0', 3)]","[('65.109.24.247', 2), ('144.76.106.61', 2), ('193.108.118.16', 2)]",3539
(Status Code: 402),2,"[('0.0', 2)]","[('89.208.113.5', 1), ('78.129.150.19', 1)]",3532
(Status Code: 418),2,"[('0.0', 2)]","[('78.111.102.100', 1), ('64.181.171.13', 1), ('188.114.96.7', 1)]",3532
(Status Code: 423),2,"[('0.0', 2)]","[('185.235.178.5', 2), ('185.224.82.237', 1)]",3589
(Status Code: 504),2,"[('0.0', 2)]","[('52.62.4.215', 1), ('52.62.11.239', 1), ('13.54.35.104', 1)]",3538
(Status Code: 450),1,"[('0.0', 1)]","[('116.203.249.31', 1)]",3552
(Status Code: 508),1,"[('0.0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",3519
(Status Code: 447),1,"[('0.0', 1)]","[('37.187.135.97', 1)]",3491
(Status Code: 999),1,"[('0.0', 1)]","[('172.67.161.42', 1), ('104.21.90.205', 1)]",3486
(Status Code: 525),1,"[('0.0', 1)]","[('104.21.48.1', 1), ('104.21.16.1', 1), ('104.21.96.1', 1)]",3563
or too long),1,[],[],0
(Status Code: 522),1,"[('0.0', 1)]","[('188.114.96.7', 1), ('188.114.97.7', 1)]",3505
(Status Code: 302),1,"[('0.0', 1)]","[('txgvmuseast2-fr-igr.baifentan.com.', 1), ('170.106.62.51', 1)]",3555
(Status Code: 468),1,"[('0.0', 1)]","[('netflixgc.com.cdn.fun.', 1), ('15.235.119.2', 1)]",3509
SSL Errors,0,[],[],0
